marque,version,annee,kilometrage,energie,emission_C02,consommation_mixte,transmission,portes,puissance_fiscale,places,lieu,prix
Ford,Mondeo 2.0 DI - 115 Ambiente,2001,269000,Diesel,156,5.9,Manuelle,4,7,5,88290,1800
Renault,Scénic 1.9 DCI - 105 Air,2002,170911,Diesel,157,5.9,Manuelle,4,6,5,59290,1400
Renault,Express Break 1.6 D,1986,289500,Diesel,null,null,Manuelle,2,5,5,18270,1200
Renault,Mégane IV Berline Blue dCi 115 - 20 Intens,2020,15600,Diesel,null,null,Manuelle,4,6,5,45170,19690
Honda,Jazz Hybrid 1.3  i-VTEC + IMA CVT,2011,98000,Hybride,104,4.5,Automatique,4,4,5,83400,9200
Ford,Fiesta 1.0 EcoBoost 95 ch S&S BVM6 Cool & Connect,2020,21200,Essence,94,4.1,Manuelle,4,5,5,19350,12300
Peugeot,405 1.6i GR,1993,84510,Essence,null,null,Manuelle,4,7,5,57100,3900
BMW,118d 143 ch Confort A,2012,168000,Diesel,140,5.3,Automatique,2,8,4,11100,8500
Renault,Captur dCi 90 Energy eco² Business,2016,92000,Diesel,95,3.6,Manuelle,4,4,5,44170,9780
Citroën,DS3 PureTech 110 S&S BVM Executive,2017,80000,Essence,100,4.3,Manuelle,2,5,5,69720,12900
Jaguar,S-Type 2.7 V6 D Bi-Turbo Classic A,2005,150000,Diesel,208,8.0,Automatique,4,13,5,65000,5000
Peugeot,307 CC 1.6e 16V 110ch Navteq on Board,2008,130000,Essence,178,7.6,Manuelle,2,7,4,30800,4500
Ford,Kuga 1.5 Flexifuel-E85 150 S&S 4x2 BVM6 Titanium,2019,65000,Autres,170,6.9,Manuelle,4,9,5,64990,19900
Renault,19 Cabriolet 1.8i,1993,175000,Essence,null,null,Manuelle,2,9,4,77250,2800
Renault,Scenic TCe 160 FAP Intens,2019,9500,Essence,136,6.0,Manuelle,4,9,5,45000,21250
Volkswagen,Coccinelle Cabriolet 1.4 TSI 160 Vintage,1974,100000,Essence,158,6.8,Manuelle,2,9,4,33950,22000
Peugeot,2008 1.6 e-HDi 115ch FAP BVM6 Féline Titane,2014,56000,Diesel,105,4.0,Manuelle,4,6,5,83860,12000
Citroën,Xsara Break 2.0 HDi - 90 Tendance,2006,224136,Diesel,144,5.5,Manuelle,4,5,5,41170,2000
Peugeot,3008 Puretech 130ch S&S EAT8 Allure Pack,2021,3960,Essence,null,null,Automatique,4,7,5,95550,32600
Mazda,929 2.0 LTD Super Spec.,1983,270003,Essence,null,null,Manuelle,4,9,5,13012,300
Mercedes,SLK200 A,1998,283000,Essence,220,9.3,Automatique,2,9,2,27950,7999
Porsche,Cayenne 4.8 V8 Turbo Tiptronic S A,2008,104000,Essence,358,14.9,Automatique,4,43,5,92330,33000
Peugeot,3008 Puretech 130ch S&S EAT8 Allure Pack,2021,3000,Essence,null,null,Automatique,4,7,5,83500,34000
Renault,Clio III dCi 75 eco2 20th Euro 5,2011,56000,Diesel,106,4.0,Manuelle,2,4,5,93190,8000
Opel,Corsa 1.2 Turbo 100 ch BVM6 GS Line,2021,3500,Essence,null,null,Manuelle,4,5,5,68720,18000
Toyota,Yaris Hybride 100h SkyBlue,2016,85248,Hybride,82,3.6,Automatique,4,3,5,78330,11800
Opel,Corsa 1.3 CDTI - 75 ch FAP 150ème Anniversaire,2012,130000,Diesel,112,4.2,Manuelle,4,4,5,06200,5500
Dacia,Duster 1.5 dCi 110 4x2 Ambiance,2012,124111,Diesel,130,5.0,Manuelle,4,6,5,20137,8000
BMW,318i,1993,111930,Essence,null,null,Manuelle,4,9,5,81500,4900
Honda,CR-V 1.6  i-DTEC 2WD Executive Navi,2015,135000,Diesel,124,4.7,Manuelle,4,6,5,49280,11500
Opel,Astra 1.4 Twinport Essentia,2004,170000,Essence,151,6.3,Manuelle,4,6,5,64121,2000
Renault,Twingo II Tce 100 Gordini,2013,53000,Essence,130,5.7,Manuelle,2,6,4,06140,10500
Lancia,Ypsilon 1.3 16v Multijet,2004,90000,Diesel,119,4.6,Manuelle,2,4,4,17140,2500
Opel,Astra Cabriolet 1.6 16V Twinport Bertone,2003,33000,Essence,161,6.7,Manuelle,2,6,4,59600,10000
Ford,Mondeo Vignale 2.0 Hybrid 187 BVA6,2018,32000,Hybride,92,4.2,Automatique,4,7,5,62100,21500
Peugeot,3008 1.6 e-HDi 112ch FAP BMP6 BLUE LION Active,2011,118000,Diesel,117,null,Semi automatique,4,6,5,33720,8100
Mercedes,190 D 2.5 Tbo,1992,238590,Diesel,null,null,Manuelle,4,8,5,59860,3300
Mercedes,Classe A 180 d 7G-DCT AMG Line,2019,36500,Diesel,null,null,Automatique,4,6,5,60400,28000
Peugeot,RCZ 2.0 HDi FAP 163ch,2010,153000,Diesel,139,5.3,Manuelle,2,9,4,34500,10000
Honda,CR-V 2.0 EX i-VTEC,2003,142000,Essence,216,9.1,Manuelle,4,10,5,84100,6250
Renault,Captur E-Tech 145 - 21 Intens,2022,1500,Hybride,null,null,Automatique,4,5,5,83400,26700
Peugeot,407 SW 2.0 HDi 16V 163ch FAP Premium Pack A,2010,220000,Diesel,179,6.9,Automatique,4,10,5,77480,3300
Chevrolet,Corvette Cabriolet A,1988,108000,Essence,null,12.1,Automatique,2,30,2,33950,19950
Volkswagen,Golf TDI 90 GT,1994,353000,Diesel,null,5.3,Manuelle,2,5,5,28400,2700
Jaguar,XJS-C 4.0 A,1994,150000,Essence,null,null,Automatique,2,38,2,65000,22900
Mini,Mini Clubman Cooper D 150 ch BVA8,2018,82000,Diesel,113,4.3,Automatique,4,8,5,40300,20990
Mercedes,Classe CLA Coupé 200 d 8G-DCT AMG Line,2019,19700,Diesel,104,3.9,Automatique,4,7,5,07370,34000
Citroën,C3 Pluriel HDi 70,2004,250000,Diesel,125,4.7,Manuelle,2,4,5,62590,1400
Chrysler,300C 3.0 CRD A,2006,162000,Diesel,215,8.1,Automatique,4,14,5,83500,13500
Volkswagen,Golf 1.6 D C,1982,130400,Diesel,null,null,Manuelle,2,5,5,28400,3300
Volkswagen,Golf 1.6 TDI 105 FAP CR BlueMotion 99gr Trendline,2010,182807,Diesel,99,3.8,Manuelle,2,5,5,04140,5700
Audi,A4 1.6i A,1996,135000,Essence,null,null,Automatique,4,10,5,94110,1500
Mercedes,Classe C Break 200 CDI Elégance,2007,330000,Diesel,171,6.5,Manuelle,4,7,5,62220,4100
Ford,C-MAX 1.6 TDCI 95 FAP Business,2013,100000,Diesel,117,4.5,Manuelle,4,5,5,24350,8500
Mercedes,GLA 200 d 7-G DCT Sensation,2018,57400,Diesel,152,5.9,Automatique,4,7,5,59155,27000
Suzuki,S-Cross 1.4 Boosterjet Allgrip Hybrid Privilège,2020,9500,Essence,null,null,Manuelle,4,7,5,17450,18200
Cadillac,CTS 3.2 V6 A,2003,126500,Essence,276,11.7,Automatique,4,15,5,52100,6000
Citroën,Axel 1.1 Base,1972,90000,Essence,null,null,Manuelle,2,6,5,42150,7000
BMW,318d 150 ch BVA8 M Sport,2018,47500,Diesel,116,4.4,Automatique,4,8,5,65000,24900
Volkswagen,Golf TDI 110 Match II,1997,310000,Diesel,null,5.1,Manuelle,2,5,5,01200,600
Nissan,X-TRAIL 1.6 dCi 130 5pl  Xtronic Acenta,2017,26500,Diesel,135,5.1,Automatique,4,7,7,13012,23000
Citroën,C3 Aircross BlueHDi 110 S&S BVM6 Shine,2020,6000,Diesel,null,null,Manuelle,4,6,5,25200,21400
Mercedes,Classe E 220 BlueTEC Executive A,2014,78898,Diesel,117,4.5,Automatique,4,9,5,72140,20000
Fiat,Panda 1.0ie Base,1996,296000,Essence,40,null,Manuelle,2,4,4,72270,400
Fiat,Panda 1.0ie Colore,1996,295000,Essence,null,null,Manuelle,2,4,4,72270,400
MG,MG F 1.8i,2001,70860,Essence,178,7.4,Manuelle,2,8,2,24460,7000
BMW,Touring 316d 116 ch 119 g Lounge,2014,152000,Diesel,119,4.5,Manuelle,4,6,5,30250,12000
Citroën,BX 1.5 TGE,1989,145250,Essence,null,null,Manuelle,4,7,5,10310,650
Ssanyoung,Rexton II 270 XVT 186 Grand Luxe A,2010,167570,Diesel,233,9.2,Automatique,4,12,5,60400,9500
Citroën,XM D12 Tbo Harmonie,1990,320000,Diesel,null,null,Manuelle,4,6,5,50240,550
mercedes,300 D 4-Matic,1989,283000,Diesel,null,null,Manuelle,4,11,5,42100,3500
Auto,500 1.2 69 ch Club,1969,18510,Essence,115,4.9,Manuelle,2,4,4,10200,8000
Auto,Scenic III dCi 110 FAP eco2 Bose Energy,2012,134200,Diesel,105,4.1,Manuelle,4,5,5,33910,10500
Auto,C6 HDi 173 FAP,2007,200000,Diesel,175,6.6,Manuelle,4,10,5,50220,6000
Citroën,C3 Picasso BlueHDi 100 Attraction,2015,43000,Diesel,101,3.9,Manuelle,4,5,5,59730,10000
Mercedes,SL280 A,1982,102000,Essence,null,null,Automatique,2,16,2,92330,33000
Auto,330 d x Pack A,2001,196000,Diesel,232,8.7,Automatique,4,12,5,76440,6500
Peugeot,null,1997,20000,Essence,null,null,Automatique,null,null,null,81210,15000
Peugeot,308 BlueHDi 130ch S&S EAT8 Allure,2020,12000,Diesel,94,3.6,Automatique,4,6,5,68000,24500
AUTRES,JS50,2018,15200,Diesel,null,null,Manuelle,2,null,2,91540,10000
Dacia,Duster Blue dCi 115 4x2 Prestige +,2021,1790,Diesel,null,null,Manuelle,4,6,5,16600,21600
Citroën,C3 1.4i 16v Exclusive,2008,201000,Essence,148,6.2,Manuelle,4,5,5,37000,4500
Mercedes,Classe C 180 d Sportline,2015,159700,Diesel,106,4.1,Manuelle,4,6,5,57460,15300
Mini,Mini Cooper SD 170 ch BVA6 Finition John Cooper Works,2015,134000,Diesel,107,4.1,Automatique,2,9,4,77200,14000
Peugeot,208 PureTech 82ch S&S BVM5 6.2 Evap Signature,2019,7500,Essence,108,4.7,Manuelle,4,4,5,83700,13000
Nissan,Qashqai+2 1.6 dCi 130 FAP All-Mode Stop/Start 360,2013,166,Diesel,139,5.3,Manuelle,4,7,7,31390,9200
BMW,X1 sDrive 18d 143 ch Business,2011,203000,Diesel,136,5.2,Manuelle,4,8,5,69270,9400
Hyundai,Tucson 1.7 CRDi 115 2WD Business,2017,50000,Diesel,119,4.6,Manuelle,4,6,5,13720,17500
Fiat,500C 1.2 8V 69 ch Lounge Dualogic,2012,72500,Essence,118,5.1,Semi automatique,2,4,4,44450,8000
Audi,A4 1.9 TDI - 130 Pack,2001,293000,Diesel,149,5.5,Manuelle,4,7,5,33600,1500
Audi,A3 1.6i Attraction,1999,180700,Essence,182,7.6,Manuelle,2,7,5,64800,1900
Toyota,Land Cruiser 3.0 D4-D VX Gentleman Farmer,2001,141000,Diesel,253,9.5,Manuelle,2,11,5,16100,16500
Opel,Mokka 1.7 CDTI - 130 ch FAP 4x2 ecoFLEX Start&Stop Cosmo,2013,118216,Diesel,120,4.5,Manuelle,4,7,5,04200,8900
Citroën,C3 Aircross BlueHDi 100 S&S BVM6 Shine,2019,34000,Diesel,null,null,Manuelle,4,5,5,18110,16700
Mini,Mini Cabriolet Cooper 136 ch,2017,34500,Essence,114,4.9,Manuelle,2,7,4,06600,20500
Renault,Kadjar TCe 140 FAP Zen,2020,14000,Essence,null,null,Manuelle,4,7,5,45170,17600
Citroën,DS4 BlueHDi 180 S&S EAT6 Executive,2018,78880,Diesel,113,4.3,Automatique,4,9,5,32100,17650
Audi,A6 Avant 2.5 TDI V6 - 180 Pack Plus Quattro Tiptronic A,2003,366459,Diesel,230,8.5,Automatique,4,12,5,83470,1500
Skoda,Fabia Combi 1.6 TDI 105 CR Elegance 2,2013,209000,Diesel,109,4.2,Manuelle,4,5,5,06400,3500
Peugeot,108 VTi 72ch BVM5 Access,2019,41000,Essence,93,4.1,Manuelle,4,4,4,77850,8500
Citroën,C3 BlueHDi 100 S&S BVM6 Shine,2021,4000,Diesel,null,null,Manuelle,4,5,5,14680,18700
Audi,Q2 1.0 TFSI 116 ch S tronic 7,2017,43000,Essence,117,5.1,Semi automatique,4,6,5,74000,22900
Fiat,500C 1.0 70 ch Hybride BSG S/S Dolcevita Spiaggina,2021,800,Essence,null,null,Manuelle,2,4,4,68740,18500
Renault,Scenic dCi 110 Energy Business,2018,154000,Diesel,100,3.9,Manuelle,4,5,5,41140,10890
LEXUS,NX 300h 4WD Luxe,2018,45900,Hybride,130,5.9,Automatique,4,8,5,44500,32990
BMW,114d 95 ch Business,2016,124000,Diesel,95,3.6,Manuelle,4,5,5,51330,11500
Peugeot,308 1.6 HDi 110 FAP Confort Pack,2008,203000,Diesel,125,4.7,Manuelle,4,6,5,11000,3600
Audi,A3 Sportback 2.0 TDI 140 DPF Ambiente,2012,171500,Diesel,115,4.4,Manuelle,4,7,5,38300,9300
Ford,Ka 1.2 69 Ambiente,2009,93000,Essence,119,5.1,Manuelle,2,4,4,75014,4000
Mercedes,E 270 CDI Elégance,2002,241000,Diesel,172,6.5,Manuelle,4,10,5,11510,3390
Peugeot,5008 1.6 HDi 110ch FAP BVM6 Confort Pack 7pl,2010,78000,Diesel,140,5.3,Manuelle,4,6,7,11000,7200
Volkswagen,Sharan 2.0 TDI 140 FAP BlueMotion Technology Carat DSG6,2011,223255,Diesel,149,5.7,Semi automatique,4,8,5,59600,10500
Volkswagen,Passat 1.9 TDI - 115 Confort,2000,260000,Diesel,143,5.3,Manuelle,4,7,5,57330,1650
Opel,Insignia Grand Sport 1.6 Diesel 136 ch BVA6 Innovation Business,2018,51000,Diesel,139,5.2,Automatique,4,7,5,22950,16700
Volvo,XC90 D5 AWD 225 Inscription Geartronic A 7pl,2016,55600,Diesel,152,5.8,Automatique,4,13,7,29000,44500
Daimler,null,1989,265000,Essence,null,null,Automatique,4,null,null,45270,7500
Audi,Q5 2.0 TDI 143 DPF Quattro Ambiente,2010,120500,Diesel,172,6.5,Manuelle,4,9,5,08110,15500
Renault,Scénic 1.9 DCI - 105 Sport Way,2003,344343,Diesel,157,5.9,Manuelle,4,6,5,vendeur,600
Opel,Grandland X Business 1.6 D 120 ch ECOTEC Edition,2018,65890,Diesel,104,4.0,Manuelle,4,6,5,12400,17890
Kia,Venga 1.6 CRDi 115 ch Premium,2010,189500,Diesel,129,4.9,Manuelle,4,6,5,31000,4950
Chrysler,PT Cruiser 2.4 Limited A,2004,112000,Essence,258,10.8,Automatique,2,10,5,17200,6900
Peugeot,3008 1.6 HDi 16V 110ch FAP Confort Pack,2009,174898,Diesel,137,5.1,Manuelle,4,6,5,vendeur,5600
Lexus,RX300 3.0i V6 Pack A,2001,278000,Essence,311,13.0,Automatique,4,15,5,17200,5900
Citroën,DS3 PureTech 110 BVA So Chic,2019,8100,Essence,119,5.2,Automatique,2,6,2,74970,17950
Ford,B-MAX 1.0 EcoBoost 125 S&S Business,2016,73000,Essence,114,4.9,Manuelle,4,6,5,59510,10500
Citroën,C4 Aircross HDi 150 Confort,2012,null,Diesel,141,5.4,Manuelle,4,8,5,67210,6500
Audi,A5 Sportback 2.0 TDI 143 S line,2013,124000,Diesel,119,4.5,Manuelle,4,7,4,38490,15490
Seat,Ibiza 1.0 EcoTSI 95 ch S/S BVM5 Xcellence,2018,46000,Essence,null,null,Manuelle,4,5,5,79300,12900
Peugeot,2008 PureTech 110ch S&S BVM6 Allure,2019,22000,Essence,104,4.8,Manuelle,4,5,5,42640,18000
Renault,Clio TCe 120 Energy Edition One,2017,38000,Essence,118,5.3,Manuelle,4,6,5,94500,13500
Hyundai,i30 1.4 CRDi 90 Blue Drive Pack Inventive,2012,135000,Diesel,105,4.0,Manuelle,4,5,5,95210,8100
Renault,Clio 1.2 Campus,2005,198500,Essence,143,6.0,Manuelle,2,4,5,38000,1900
Mercedes,C Coupé Sport 220 CDI,2005,202000,Diesel,174,6.6,Manuelle,2,9,4,11370,4000
Kia,Venga 1.4 CRDi 90 ch Active,2010,127000,Diesel,124,4.7,Manuelle,4,5,5,06200,6500
Nissan,Qashqai 1.6 dCi 130 Stop/Start Acenta,2015,133580,Diesel,115,4.4,Manuelle,4,7,5,64300,12000
Peugeot,207 1.6 HDi 16v 90ch Exécutive,2006,262000,Diesel,120,4.5,Manuelle,4,5,5,77250,3490
Peugeot,308 1.6 THP 140ch Féline A,2008,100200,Essence,188,7.9,Automatique,4,9,5,95000,6500
Dacia,Sandero TCe 90 - 22 Confort,2022,60,Essence,null,null,Manuelle,4,5,5,27940,14900
Citroën,C5 Aircross PureTech 130 S&S EAT8 Business,2020,20000,Essence,null,null,Automatique,4,7,5,72230,26500
Renault,Modus 1.6 16V 110 Exception Euro 5 A,2011,38000,Essence,179,7.7,Automatique,4,7,5,50380,5600
Nissan,NP300 NAVARA 2.3 DCI 160 KING CAB N-CONNECTA,2016,123000,Diesel,169,null,Manuelle,4,8,4,21500,20500
Citroën,C4 Picasso BlueHDi 150 S&S Business,2014,197000,Diesel,107,4.1,Manuelle,4,7,5,81500,8490
Mini,Mini 1.6i - 115 Cooper,2006,119500,Essence,166,6.9,Manuelle,2,7,4,78400,6800
Peugeot,308 1.6 BlueHDi 100ch S&S BVM5 Access,2016,141000,Diesel,94,3.6,Manuelle,4,5,5,42000,10000
Renault,Espace dCi 160 Energy Twin Turbo Initiale Paris EDC,2015,111000,Diesel,120,4.6,Automatique,4,8,7,83330,15500
Dacia,Lodgy Blue dCi 115 7 places 15 ans,2021,5500,Diesel,null,null,Manuelle,4,6,7,71570,17500
Renault,Twingo III 1.0 SCe 70 eco2 Stop & Start Zen,2016,60300,Essence,95,4.2,Manuelle,4,4,4,34070,6990
Mercedes,Classe A 220 CDI BlueEFFICIENCY 4-Matic Fascination 7-G DCT A,2014,164000,Diesel,127,4.9,Automatique,4,9,5,51120,17490
Peugeot,5008 BlueHDi 180ch S&S EAT8 Allure Business,2019,37500,Diesel,null,null,Automatique,4,9,7,74890,30800
Mercedes,GLB 200 d 8G-DCT AMG Line,2021,15500,Diesel,null,null,Automatique,4,8,7,06210,48300
Renault,Twingo III SCe 65 Zen,2021,10089,Essence,null,null,Manuelle,4,4,5,vendeur,8900
Peugeot,2008 PureTech 130 S&S EAT8 GT,2021,1000,Essence,null,null,Automatique,4,7,5,57185,30300
Renault,Mégane III dCi 110 FAP Energy eco2 Dynamique,2012,181000,Diesel,90,3.5,Manuelle,4,5,5,78830,5300
Mercedes,Classe A 180 d 8G-DCT AMG Line,2018,24000,Diesel,null,null,Automatique,4,6,5,82170,30000
Dacia,Duster Blue dCi 115 4x2 Confort,2019,53000,Diesel,null,null,Manuelle,4,6,5,56240,15900
Opel,Corsa 1.3 CDTI Cosmo,2004,246000,Diesel,127,4.7,Manuelle,4,4,5,40260,1200
Volkswagen,Golf 1.6 TDI 115 BlueMotion Technology FAP DSG7 Confortline Business,2017,82500,Diesel,102,3.9,Semi automatique,4,6,5,78310,14850
Fiat,Panda 1.2 8V Emotion,2005,79000,Essence,129,5.5,Manuelle,4,4,4,34130,3750
Peugeot,207 1.6e 16v 110ch Sport Pack,2006,166000,Essence,166,7.0,Manuelle,2,7,5,01200,3690
Citroën,Xsara Picasso 2.0 HDi 90 SX,2002,226000,Diesel,147,5.5,Manuelle,4,5,5,60530,1150
Peugeot,3008 BlueHDi 180ch S&S EAT8 GT,2019,60300,Diesel,null,null,Automatique,4,9,5,85600,28600
Renault,Kadjar Blue dCi 115 Business,2018,28000,Diesel,115,4.4,Manuelle,4,6,5,74370,16990
Peugeot,307 Break 2.0 HDi 16v - 136 Sport FAP,2006,140000,Diesel,142,5.4,Manuelle,4,8,5,30250,3980
Volkswagen,Golf 1.5 TSI 130 EVO BVM6 Connect,2019,24500,Essence,117,5.0,Manuelle,4,7,5,92240,19900
Mini,Mini Paceman 184 ch ALL4 Cooper S Pack Red Hot Chili A,2013,104000,Essence,180,7.7,Automatique,2,11,4,06600,14500
Dacia,Logan MCV 1.6 16V 105 Bioéthanol 7 places Lauréate,2010,163000,Autres,178,7.6,Manuelle,4,7,7,01170,4500
Audi,A6 Avant V6 3.0 TDI DPF 240 Quattro Sport Plus Edition Tiptronic A,2010,274000,Diesel,189,7.1,Automatique,4,15,5,42000,12900
Peugeot,206 1.6i 16V Griffe,2003,140600,Essence,153,6.4,Manuelle,2,7,5,38000,2900
Peugeot,3008 Hybrid 300 e-EAT8 GT,2020,30000,Hybride,null,null,Automatique,4,11,5,86300,37500
Ford,EcoSport 1.0 EcoBoost 125ch S&S BVM6 ST-Line Noir/Jaune,2020,19570,Essence,114,5.0,Manuelle,4,7,5,52130,16900
Renault,Latitude dCi 150 FAP Business,2011,189000,Diesel,140,5.3,Manuelle,4,8,5,03310,6000
SEAT,Ibiza 1.4 TDI 70 Réference,2011,210000,Diesel,119,4.8,Manuelle,2,4,5,88000,3490
FIAT,Grande Punto 1.3 Multijet 16V 75 Dynamic,2008,121000,Diesel,119,4.5,Manuelle,4,4,5,88000,3300
Mercedes,Classe GLE 350 d 9G-Tronic 4Matic Sportline,2016,115000,Diesel,179,6.6,Automatique,4,16,5,34090,36900
Opel,Corsa 1.2 75 ch BVM5,2021,6000,Essence,null,null,Manuelle,4,4,5,17230,15500
Audi,A3 Cabriolet 1.2 TFSI 105 Ambition,2010,62500,Essence,132,5.7,Manuelle,2,6,4,02000,12000
BMW,Gran Coupé 420d 190 ch Business,2016,148000,Diesel,111,4.2,Manuelle,4,10,5,71300,18990
BMW,520i,1985,180000,Essence,null,null,Manuelle,4,9,5,82600,7000
Alfa,159 2.0 JTDm 170 Selective,2011,171500,Diesel,139,5.4,Manuelle,4,9,5,59200,6000
BMW,Cab 325i Ci A,2001,239000,Essence,239,9.9,Automatique,2,13,4,74160,7200
Renault,Twingo II 1.2 60 eco2 Access,2009,152000,Essence,130,5.5,Manuelle,2,4,4,44780,2900
Renault,Twingo III 0.9 TCe 90 Energy E6C Intens,2019,30200,Essence,111,4.9,Manuelle,4,5,4,33510,10100
Mercedes,Classe B 180 7-G DCT Inspiration,2018,26000,Essence,138,6.1,Automatique,4,7,5,45630,21900
Renault,Captur dCi 90 E6C EDC Business,2019,13300,Diesel,113,4.3,Automatique,4,5,5,67850,17000
Ford,Focus 1.5 EcoBoost 150 S&S BVA8 Vignale,2019,20160,Essence,127,6.0,Automatique,4,8,5,21000,24950
Citroën,NEMO HDI 75 FAP BUSINESS,2012,145000,Diesel,124,4.7,Manuelle,4,5,2,13200,5000
Renault,Captur dCi 90 Energy Business,2014,116000,Diesel,95,3.7,Manuelle,4,4,5,33570,8700
JAGUAR,null,1991,187000,null,null,null,Automatique,4,null,5,77310,4900
Renault,Mégane IV Estate dCi 110 Energy Business EDC,2018,126000,Diesel,95,3.7,Automatique,4,5,5,33570,11300
Ford,Focus 1.8 TDCi 115 Titanium,2008,97500,Diesel,137,5.2,Manuelle,4,6,5,94500,4150
Jaguar,X-Type 2.2 D Executive,2007,235000,Diesel,159,6.0,Manuelle,4,9,5,38850,5000
Mercedes,Classe C Coupé 250 d 4Matic 9G-Tronic,2017,61000,Diesel,122,4.6,Automatique,2,11,4,57000,33500
Alfa,Spider 2.0 JTS Distinctive,2003,148000,Essence,220,9.2,Manuelle,2,11,2,86450,8500
Volkswagen,Golf 1.9 TDI - 90 A,2000,203000,Diesel,172,6.3,Automatique,2,6,5,57690,900
Kia,PROCEED 1.6 CRDi 136 ch ISG DCT7 GT Line,2020,39000,Diesel,null,null,Automatique,4,7,5,17460,26500
Volkswagen,Scirocco 1.4 TSI 160,2010,90000,Essence,154,6.6,Manuelle,2,9,4,31140,9900
Mini,Mini 1.6i - 115 Cooper,2003,145500,Essence,166,6.9,Manuelle,2,7,4,74700,4500
Renault,Laguna 2.2 dT RXT,1998,216938,Diesel,null,null,Manuelle,4,6,5,26500,450
Citroën,Spacetourer M BlueHDi 120 S&S BVM6 Business,2021,13700,Diesel,167,null,Manuelle,4,6,8,30220,30000
Toyota,Land Cruiser 190 D-4D Légende A,2014,94740,Diesel,213,8.1,Automatique,4,12,5,03500,38000
VOLKSWAGEN,Volkswagen Passat BREAK 1.9 TDI 100,2001,347000,Diesel,146,5.4,Manuelle,4,null,5,67200,990
Alfa,Giulietta 1.6 JTDm 105 ch S&S Distinctive,2014,152000,Diesel,114,4.4,Manuelle,4,5,5,14130,6000
Citroën,DS5 HDi 160 So Chic,2012,93010,Diesel,128,5.1,Manuelle,4,9,5,vendeur,11950
Renault,Scenic dCi 160 Energy EDC Business Intens,2018,10500,Diesel,118,4.5,Automatique,4,8,5,58450,22500
Porsche,944,1983,44500,Essence,null,null,Manuelle,2,14,4,28500,15000
Citroën,C3 PureTech 82 Shine,2017,19300,Essence,109,4.7,Manuelle,4,4,5,86240,11300
Renault,Twingo 1.2i Privilège,2000,161000,Essence,138,5.8,Manuelle,2,4,4,77260,2000
Peugeot,206 CC 1.6i 16V Sport Pack,2006,63000,Essence,166,6.9,Manuelle,2,7,4,06210,5990
